Dimension,Verbatims
Gestion de consultas,Porque es muy expeditivo en cada consulta que le realizamos  no sabrua decirte mas porque con ustedes hicimos un leasing las veces que los contactamos nos respondio.
Gestion de consultas,Porque siempre tuve respuestas a las solicitudes siempre respondio bien solo eso.
Calidad de atencion ,Porque tenemos muy buena con tactacion cualquier cosa que nos pasa nos ha dejado su telefono particular y estoy muy conforme con la forma en la que el trabaja es decir que tienen mucha predisposicion para resolver problemas es muy responsable
Gestion de consultas,Porque a veces no recibo respuesta es decir que hay un tema con el banco que me esta haciendo unas retenciones de ingresos brutos hice un reclamo y tengo que insistir yo para recibir respuestas debe ser un problema interno tambien dentro del banco que culpa tiene el ejecutivo de cuentas si los d
Calidad de atencion ,Porque tiene una buena atencion y una predisposiciones
Calidad de atencion ,Porque no tenemos una relacion muy fluida con el banco y no es nuestro banco de cabezada y por parte del ejecutivo una relacion mas fluida con la empresas
Gestion de consultas,La claridad en la forma de explicar de los productos y los servicios ahora no recuerdo ning˙n ejemplo pero siempre fue muy claro.
Procesos,Tendrua que mejora las operaciones con cheques cuando lo hacemos con el ejecutivos
Calidad de atencion ,Tuve un solo contacto con el y fue muy amable no se que mas puedo decirte porque fue solo un contacto y fue muy amable en el trato no te puedo decir nada mas.
Calidad de atencion ,Interactuar mas con nosotros porque no tenemos mucho contacto podrua saber mas que es lo que necesita la empresa
Tiempos de espera,Podrua ser mas expeditivo
Calidad de atencion ,Porque tiene una excelente atencion y tiene una buena predisposiciones cuando lo necesitamos
Gestion de consultas,Nos ha facilitado lo que necesitamos y siempre que requerimos ayuda nos  la brindo y es eficiente
Gestion de consultas,Se preocupo por activar los papeles y organizarlos porque soluciono los problemas que tenuamos archivados
Calidad de atencion ,Porque siempre esta al tanto de la solicitudes que le mandamos y esta predispuesto se acerca a la empresa para los problema
Gestion de consultas,Porque siempre pudo y puede solucionar todos los problemas que tuvimos
TCR,No nos informa sobre los cheques rechazados directamente los rechaza  no me avisa y quedamos manchados
Gestion de consultas,Porque es un ejecutivo medio no es ni muy resolutivo pero tampoco te deja en banda. No se si soy quien que puede mejorar uno considera que podrua ser mas atento o resolutivo. Nada en especial en general.
Calidad de atencion ,Siempre esta a disposicion y bien predispuesto  fomenta la relacion entre el cliente y el banco
Canales y servicios,Porque le pondrua algunas funciones como la cuotas de las tarjetas
Gestion de consultas,Porque tuve que reclamar dos veces la primera vez me decuan que no era lo correcto y si era
Canales y servicios,Porque es practico y agil de operar cuando lo uso
Canales y servicios,Por el tema de las cauda del sistema cuando quiero entrar y estan caudo la aplicacion
Canales y servicios,Porque es como y rapido cuando lo uso
TCR,Me dijeron que al me siguiente se iba a solucionar el problema y cumplieron con su palabra. No tuve que volver a llamar.
Calidad de atencion ,Porque cuando necesite siempre el banco me lo da sin ning˙n problema y tengo las cuentas y no tengo problema con el banco
Calidad de atencion ,Tendrua que mejorar la atencion del personal cuando vas a buscar una respuesta la ˙ltima vez me respondio mal muy mal educada el personal
Gestion de consultas,Porque no me resolvieron  el problema o me lo resolvieron a su manera y me dieron una respuesta mal y tuve que hacer un tramite que no correspondua hacer
Canales y servicios,Porque es muy facil de usarla y no necesito ir al banco para hacer los tramite
Gestion de consultas,Porque me solucionaron los problemas y me explicaron todo algo que yo no sabia
Productos,Porque fue rapido la entrega del prestamo
Productos,Porque es expeditivo porque es el que mas medio posibilidades por las tasas y el monto que me dieron
Procesos,Hay algunas operaciones que no se puede hacer ver los ˙ltimos res˙menes de la cuenta
Productos,Tendrua que tener las tasa mas bajas para los clientes que tiene cuenta sueldo
Productos,No me dieron mucha vuelta. No fue difucil sacarlo. Me gusto la flexibilidad de la cuota.
Canales y servicios,Es bastante accesible. No le encuentro dificultad al modo de uso.
Gestion de consultas,Porque no resuelven las quejas o sea me estaban cobrando por un costo de un retiro de dinero   y  cuando yo reclame que me devuelvan ese dinero me dijeron que yo misma lo saque y por ese motivo  no me lo devuelven
Canales y servicios,Porque puedo pagar las cuentas hacer transferencia sin moverme de mi casa a mu me sirve
Canales y servicios,Porque me evita ir a las sucursales como pagar y hacer tramite sin perder tiempo
Canales y servicios,Es practica y comoda. Es facil de usar y no tiene ninguna complicacion.
Canales y servicios,Porque e practico es accesible rapido entendible
Gestion de consultas,Porque tuve que ir varia  veces al banco y no sabua que contestar  me decuan que la semana que viene tenua que llegar la prenda y nunca llegaba
Canales y servicios,A veces me meto y en ciertos horarios al introducir la contraseÒa o el usuario me va tirando error y no me deja entrar.
Productos,Porque tiene una tasa preferencia como soy cliente vip
Canales y servicios,Porque tengo acceso a la informacion y no me tengo que mover a ning˙n lado todo lo puedo hacer de mi casa
Canales y servicios,Porque cuando entras por la web hay opciones que en la aplicacion no como la parte de prestamos
Canales y servicios,Por la comodidad puedo hacer el pago de la tarjeta
Productos,En el momento en que fui a solicitarlo me lo dieron en el mismo dua.
Canales y servicios,Es facil de ver los movimientos que uno realiza con su tarjeta. Es una aplicacion simple.
Canales y servicios,Porque no lo uso mucho la aplicaciones y no me lo puso  ver detalladamente
Canales y servicios,Porque es practico y la disponibilidad en cualquier momento
Productos,Porque yo saque un prestamo para un auto y no me llega la prenda y unas tarjetas de creditos tampoco me llegaron
Canales y servicios,Porque puedo ver todos los consumos que voy realizando con las tarjetas. La utilizo solo para eso.
Productos,Porque yo fui lo pedu y al otro dua tenua el prestamos pregunte como eran los requisitos y al otro dua estaba la plata fue rapido eficaz y era lo que yo lo necesitaba
Canales y servicios,Porque a mu me sirve para tener un control de mis gastos estar al tanto de los movimientos de la cuenta y me evita concurrir a la sucursal.
Canales y servicios,Porque es algo facil para consultar mis saldos y todos los movimientos de la cuenta en cuanto a debitos automaticos por ejemplo.
Canales y servicios,Porque es muy practico nada mas
Canales y servicios,Porque es satisfactorio y comodo o sea mas practico y rapido
Productos,Porque no me cobraban mucho interes. Me otorgaron en el acto. La tasa de interes me parecio accesible.
Canales y servicios,Porque me resulta ˙til facil de usar es entendible es comoda y accesible. Me refiero a que es rapida.
Productos,Porque saque el prestamo por las cuotas chicas que se que voy a pagar y me sirvio la forma de pago me sirve el monto que me dieron por eso lo recomendarua
Canales y servicios,Porque siempre que la consulta la informacion esta disponible. Solo la utilizo para consultas de saldos.
Productos,Porque no tuve problemas para retirarlo y los requisitos que me pidieron por que anteriormente ya habua sacado un prestamo anterior no hubo problemas para adquirirlo
Canales y servicios,Porque trabaja bien es muy simple. Encuentro toda la informacion que necesito.
Productos,Porque cuando necesite el prestamo no me dieron muchos requisitos es recomendable y es accesible
Canales y servicios,Tendrua que ser mas detallado cuando hace las compras es como 24 horas que tenes que esperar para ver la comprar
Productos,Porque quisiera cancelarlo y no puedo hacerlo hasta la cuota n˙mero 5 es decir ese serua el porcentaje que tendrua que tener pago para poder cancelarlo sin tener que pagar la penalidad.
Canales y servicios,Porque me da toda la soluciones sin tener que ir al banco
Canales y servicios,Tendrua que tener mas opciones para operar no se me ocurre ninguna en este momento.
Canales y servicios,Porque es muy sencilla de usar me gusta la estetica. Veo todo lo que tengo a mano puedo pagar cosas.
Productos,Porque en cuanto lo pedu lo obtuve me lo estan descontando con debito automatico y eso me facilita un monton. La acreditacion fu inmediata.
TCR,Por la rapidez en la atencion en el sector de cajas. Es la primera vez que opere en el sector de cajas de las sucursales.
Canales y servicios,Porque no puedo realizar pagos actualmente solo lo pude realizar una sola vez. No me permite realizar en este momento ni pagos ni transferencias solo puedo realizar consultas.
Layout sucursal,Porque me queda cerca de mi domicilio.
Tiempos de espera,Porque la atenacen fue rapida.
Productos,No me han ofrecido producto9s. Solo tengo la cuenta sueldo. No tengo tarjeta de credito ni cuenta corriente ni segura.
Canales y servicios,En relacion al homebanking me parece que es concreto te permite tener concentradas las operaciones en mi caso.
Productos,En cuando a la oferta general siempre hay aspectos que mejorar en cuanto a los productos. No se me ocurre nada particularmente. Lo que me pasa es que no me ajustan las promociones en el resumen no se me hace el descuento. Desde hace seis meses que uso la misma promocion y me pasa.
Tiempos de espera,Deberuan mejorar el tiempo de respuestas de los oficiales.
Canales y servicios,Es bastante logico. Es amigable facil de utilizar.
Layout sucursal,La sucursal es pequeÒa y muy expuesta. Si haces una transaccion estas bastante expuesto.
Canales y servicios,Cuando he tenido un problema con las tarjetas no tuve problemas en comunicarme con ellos para solucionarlo.
Calidad de atencion ,Por la buena atencion siempre estan con una sonrisa. Solo por eso.
Calidad de atencion ,Hice depositos bancarios tiene buena atencion tienen siempre sonrisa.
Canales y servicios,Me mandan ofertas me mandan mensajitos pero la verdad es que  no los miro.
Canales y servicios,Porque el homebanking es sencillo para utilizar y practico
Productos,Porque ofrece todo el paquete de las tarjetas sin ning˙n tipo de costo o sea sin costo de mantenimiento cero y por la utilizacion de las tarjetas practicamente suman millas
